Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
150,NIKI_KIDS,940,YES,225.0.4.231:20231,225.0.4.231:20231,233.3.5.68:5068
151,NIKI_Junior,955,YES,225.0.4.232:20232,225.0.4.232:20232,233.3.5.82:5082
152,Tayni_Galaktiki,1100,YES,226.0.1.159:10159,228.141.1.71:7134,233.3.5.180:5180
152,Tayni_Galaktiki,1054,YES,226.0.1.159:10159,226.0.1.159:10159,233.3.3.181:3181
153,Imedi,572,YES,237.7.7.12:17012,228.141.1.71:7149,233.3.4.140:4140
153,Imedi,220,YES,237.7.7.12:17012,237.7.7.12:17012,233.3.3.54:3054
154,Pulsi_TV,870,YES,237.7.7.78:10078,237.7.7.77:10077,233.3.5.58:5058
154,Pulsi_TV,871,YES,237.7.7.78:10078,237.7.7.78:10078,233.3.5.59:5059
155,Arirang_TV,672,YES,226.0.5.109:10109,226.0.5.109:10109,233.3.4.230:4230
156,Sci-Fi,586,YES,225.0.4.36:10036,225.0.4.36:10036,233.3.4.154:4154
156,Sci-Fi,1062,YES,225.0.4.36:10036,228.142.1.73:7352,233.3.3.202:3202
157,Central_Comedy,504,YES,225.0.7.142:10142,225.0.7.142:10142,233.3.4.75:4075
157,Central_Comedy,1102,YES,225.0.7.142:10142,228.142.1.73:7336,233.3.5.182:5182
158,Ktokuda,663,YES,226.0.1.170:10170,226.0.1.170:10170,233.3.4.221:4221
158,Ktokuda,1103,YES,226.0.1.170:10170,228.141.1.71:7105,233.3.5.183:5183
159,Sarafan,1104,YES,225.0.4.60:10060,225.0.4.60:10060,233.3.5.184:5184
159,Sarafan,762,YES,225.0.4.60:10060,225.0.4.60:10060,233.3.3.13:3013
160,Luxe_TV_HD,288,YES,226.0.5.111:40111,226.0.5.111:40111,233.3.3.119:3119
162,Oxota_i_Ribalka,695,YES,226.0.5.110:10110,226.0.5.110:10110,233.3.5.19:5019
162,Oxota_i_Ribalka,1105,YES,226.0.5.110:10110,228.144.1.77:7745,233.3.5.185:5185
163,Usadba,578,YES,226.0.3.140:40140,226.0.3.140:40140,233.3.4.146:4146
163,Usadba,1106,YES,226.0.3.140:40140,228.144.1.77:7704,233.3.5.186:5186
164,Moya_Planeta_HD,207,YES,226.0.1.183:10183,228.141.1.71:7144,233.3.3.41:3041
165,OCE,538,YES,225.0.4.150:10150,225.0.4.150:10150,233.3.4.107:4107
165,OCE,541,YES,225.0.4.150:10150,225.0.4.158:10158,233.3.4.110:4110
166,Domashniy,719,YES,226.0.3.128:10128,226.0.3.140:10140,233.3.5.43:5043
166,Domashniy,1108,YES,226.0.3.128:10128,228.144.1.77:7730,233.3.5.188:5188
167,Kuhnia,495,YES,226.0.1.187:10187,228.141.1.71:7146,233.3.4.67:4067
167,Kuhnia,228,YES,226.0.1.187:10187,226.0.1.187:10187,233.3.3.62:3062
168,1+1,1066,YES,225.0.4.252:20252,228.142.1.73:7341,233.3.3.213:3213
168,1+1,1051,YES,225.0.4.252:20252,228.142.1.73:7341,233.3.3.155:3155
169,Cinema,655,YES,226.0.3.134:10134,226.0.3.134:10134,233.3.4.187:4187
169,Cinema,658,YES,226.0.3.134:10134,228.142.1.73:7335,233.3.4.190:4190
170,Fashion_&_LifeStyle,668,YES,226.0.1.156:30156,226.0.1.156:30156,233.3.4.226:4226
171,Plan_B,980,YES,226.0.1.154:10154,228.141.1.71:7116,233.3.5.97:5097
